Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
"Broad and Nelson; Caudill, Rowlett and Scott",Broad and Nelson,contributor,coorporate,"Caudill, Rowlett and Scott",contributor,coorporate,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Broad and Nelson; Smith and Warder; Jack Corgan and  Associates; Thomas and Jameson,Broad and Nelson,contributor,coorporate,Smith and Warder,contributor,coorporate,Jack Corgan and  Associates,contributor,coorporate,Thomas and Jameson,contributor,coorporate
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Broad and Nelson; Smith and Warder; Jack Corgan and  Associates; Thomas and Jameson,Broad and Nelson,contributor,coorporate,Smith and Warder,contributor,coorporate,Jack Corgan and  Associates,contributor,coorporate,Thomas and Jameson,contributor,coorporate
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Thomas Broad,Thomas Broad,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad & Nelson; Mark Lemmon | consulting architect,Broad & Nelson,contributor,coorporate,Mark Lemmon,consulting architect,person,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Thomas Broad,Thomas Broad,contributor,person,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Flint and Broad,Flint and Broad,contributor,coorporate,,,,,,,,,
Flint and Broad | architects,Flint and Broad,architects,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Henry Steinbomer,Henry Steinbomer,contributor,person,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Thomas and Jameson,Thomas and Jameson,contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Thomas and Jameson,Thomas and Jameson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Arthur E. Thomas,Arthur E. Thomas,contributor,person,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Bentley, Broad, and Nelson","Bentley, Broad, and Nelson",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Walter Ahlschlager,Walter Ahlschlager,contributor,person,,,,,,,,,
George L. Dahl,George L. Dahl,contributor,person,,,,,,,,,
McKesson and Robbins Inc.,McKesson and Robbins Inc.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Dallas Fountain and Fixture Company,Dallas Fountain and Fixture Company,contributor,coorporate,,,,,,,,,
Smith and Warder,Smith and Warder,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Broad and Nelson; Smith and Warder; Jack Corgan and  Associates; Thomas and Jameson,Broad and Nelson,contributor,coorporate,Smith and Warder,contributor,coorporate,Jack Corgan and  Associates,contributor,coorporate,Thomas and Jameson,contributor,coorporate
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marvin Springer and Association,Marvin Springer and Association,contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Thomas, Jameson, and Merrill","Thomas, Jameson, and Merrill",contributor,coorporate,,,,,,,,,
Page and Southerland | architects,Page and Southerland,architects,coorporate,,,,,,,,,
Brooks and Barr,Brooks and Barr,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Herbert M. Greene and Company | architectural firm,Herbert M. Greene and Company,architectural firm,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
"Wilson, Morris, Crain and Anderson | architectural firm","Wilson, Morris, Crain and Anderson",architectural firm,coorporate,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
"M. G. M. Architects of Austin, Inc.","M. G. M. Architects of Austin, Inc.",contributor,coorporate,,,,,,,,,
Graeber Simmons and Cowan | architects,Graeber Simmons and Cowan,architects,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
B. W. Crain Jr. | architect,B. W. Crain Jr.,architect,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Brooks and Barr,Brooks and Barr,contributor,coorporate,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Louis Lloyd Oliver; Tibor Beerman,Louis Lloyd Oliver,contributor,person,Tibor Beerman,contributor,person,,,,,,
Osborn-Papesh,Osborn-Papesh,contributor,person,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Ford, Powell & Carson | architects","Ford, Powell & Carson",architects,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
B. W. Crain Jr. | architect,B. W. Crain Jr.,architect,person,,,,,,,,,
Jessen Associates,Jessen Associates,contributor,coorporate,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Paul Philippe Cret | consulting architect,Paul Philippe Cret,consulting architect,person,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
"Harbeson, Hough, Livingston, and Larson | consulting architects","Harbeson, Hough, Livingston, and Larson",consulting architects,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Paul P. Cret,Paul P. Cret,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Lambert Landscape Co.,Lambert Landscape Co.,contributor,coorporate,,,,,,,,,
Mark Lemmon | architect,Mark Lemmon,architect,person,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Von Rosenberg,Von Rosenberg,contributor,person,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
George A. Endress | resident architect,George A. Endress,resident architect,person,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
"Harbeson, Hough, Livingston and Larson | architects","Harbeson, Hough, Livingston and Larson",architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White | supervising architect,Robert Leon White,supervising architect,person,,,,,,,,,
Cass Gilbert | architect,Cass Gilbert,architect,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Fred Hancock Halsey,Fred Hancock Halsey,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Campbell and Campbell,Campbell and Campbell,contributor,coorporate,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Preston Geren Architect & Engineer,Preston Geren Architect & Engineer,contributor,coorporate,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
Osborn-Papesh,Osborn-Papesh,contributor,person,,,,,,,,,
William C. Craig | consulting engineers,William C. Craig,consulting engineers,person,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,
Osborn-Papesh,Osborn-Papesh,contributor,person,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
"Greene, LaRoche, and Dahl | architects","Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Jessen Jessen Millhouse and Greeven,Jessen Jessen Millhouse and Greeven,contributor,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Fisher and Spillman Architects Inc.,Fisher and Spillman Architects Inc.,contributor,coorporate,,,,,,,,,
J. C. Evans | contractor,J. C. Evans,contractor,person,,,,,,,,,
Fisher and Spillman Architects Inc.,Fisher and Spillman Architects Inc.,contributor,coorporate,,,,,,,,,
DWN: H. Simmons,DWN: H. Simmons,contributor,person,,,,,,,,,
Joseph R. Williams,Joseph R. Williams,contributor,person,,,,,,,,,
Osborn-Papesh,Osborn-Papesh,contributor,person,,,,,,,,,
Overland Partners Inc.,Overland Partners Inc.,contributor,coorporate,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
Howard R. Meyer,Howard R. Meyer,contributor,person,,,,,,,,,
"Demars, Esherick and Olsen","Demars, Esherick and Olsen",contributor,coorporate,,,,,,,,,
Frank O. Gehry and Associates,Frank O. Gehry and Associates,contributor,coorporate,,,,,,,,,
I. M. Pei and Partners | architects-planners,I. M. Pei and Partners,architects-planners,coorporate,,,,,,,,,
Frank O. Gehry and Associates,Frank O. Gehry and Associates,contributor,coorporate,,,,,,,,,
Mitchell / Giurgola Architects,Mitchell / Giurgola Architects,contributor,coorporate,,,,,,,,,
I. M. Pei and Partners | architects,I. M. Pei and Partners,architects,coorporate,,,,,,,,,
Frank O. Gehry and Associates,Frank O. Gehry and Associates,contributor,coorporate,,,,,,,,,
Johnson Burgee Architects | architects,Johnson Burgee Architects,architects,coorporate,,,,,,,,,
I. M. Pei and Partners,I. M. Pei and Partners,contributor,coorporate,,,,,,,,,
Johnson Burgee Architects | architects; Morris Aubrey Architects,Johnson Burgee Architects,architects,coorporate,Morris Aubrey Architects,contributor,coorporate,,,,,,
Johnson Burgee Architects | architects,Johnson Burgee Architects,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
S. I. Morris Architects,S. I. Morris Architects,contributor,coorporate,,,,,,,,,
Eero Saarinen and Associates,Eero Saarinen and Associates,contributor,coorporate,,,,,,,,,
Edward L. Tilton,Edward L. Tilton,contributor,person,,,,,,,,,
Wilmot Porter Associates,Wilmot Porter Associates,contributor,coorporate,,,,,,,,,
Howard R. Meyer,Howard R. Meyer,contributor,person,,,,,,,,,
"Murphy, Morley and Geraughty","Murphy, Morley and Geraughty",contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Reinhard Hofmeister and Walquist,Reinhard Hofmeister and Walquist,contributor,coorporate,,,,,,,,,
Louis C. Williams,Louis C. Williams,contributor,person,,,,,,,,,
Bruce Goff,Bruce Goff,contributor,person,,,,,,,,,
Frederick E. Ruffini,Frederick E. Ruffini,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Cass Gilbert,Cass Gilbert,contributor,person,,,,,,,,,
Robert Leon White,Robert Leon White,contributor,person,,,,,,,,,
Zumwalt and Vinther | consulting engineers,Zumwalt and Vinther,consulting engineers,coorporate,,,,,,,,,
J. L. Wees,J. L. Wees,contributor,person,,,,,,,,,
Louis Sullivan,Louis Sullivan,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Sidney Clark | architect,Sidney Clark,architect,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
KWF Harris | delineator,KWF Harris,delineator,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Harry Heron,Harry Heron,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Harry Heron,Harry Heron,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Harry Heron,Harry Heron,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Harry Heron,Harry Heron,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Harry Heron,Harry Heron,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Fred W. Marks F. R. I. B. A.,Fred W. Marks F. R. I. B. A.,contributor,person,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
Architecture Association,Architecture Association,contributor,coorporate,,,,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Howard R. Meyer | associated architect; Max Sandfield | associated architect,Howard R. Meyer,associated architect,person,Max Sandfield,associated architect,coorporate,,,,,,
Raiford Stripling,Raiford Stripling,contributor,person,,,,,,,,,
James Riely Gordon,James Riely Gordon,contributor,person,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)","Dielmann, Leo M.J.",contributor,person,,,,,,,,,
Howard R. Meyer,Howard R. Meyer,contributor,person,,,,,,,,,
F. E. Ruffini,F. E. Ruffini,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Harwell Hamilton Harris,Harwell Hamilton Harris,contributor,person,,,,,,,,,
Nicholas John Clayton and Company Architects,Nicholas John Clayton and Company Architects,contributor,coorporate,,,,,,,,,
Southwestern Architects Engineers,Southwestern Architects Engineers,contributor,coorporate,,,,,,,,,
F. E. Ruffini,F. E. Ruffini,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Cass Gilbert | architect,Cass Gilbert,architect,person,,,,,,,,,
Thomas D. Broad,Thomas D. Broad,contributor,person,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Flint and Broad,Flint and Broad,contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Flint and Broad,Flint and Broad,contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Benjamin Marshall,Benjamin Marshall,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
Benjamin H. Marshall Company | architects,Benjamin H. Marshall Company,architects,coorporate,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Benjamin H. Marshall | architect,Benjamin H. Marshall,architect,person,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Adler and Sullivan,Adler and Sullivan,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Kegley,Kegley,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Benjamin Marshall,Benjamin Marshall,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Benjamin H. Marshall | architect,Benjamin H. Marshall,architect,person,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Benjamin H. Marshall | architect,Benjamin H. Marshall,architect,person,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
Marshall and Fox | architects and engineers,Marshall and Fox,architects and engineers,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Benjamin Marshall,Benjamin Marshall,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton,Walton,contributor,person,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Wilson and Marshall,Wilson and Marshall,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
"Walton and Walton | associated architects; Hummel, Hummel and Jones | associated architects",Walton and Walton,associated architects,coorporate,"Hummel, Hummel and Jones",associated architects,coorporate,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Benjamin Marshall and Co.,Benjamin Marshall and Co.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Walton,Walton and Walton,contributor,coorporate,,,,,,,,,
Benjamin Marshall | architect,Benjamin Marshall,architect,person,,,,,,,,,
Kegley,Kegley,contributor,person,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Marshall,Marshall,contributor,person,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
H. H. Howeler,H. H. Howeler,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
Benjamin Marshall,Benjamin Marshall,contributor,person,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall,Marshall,contributor,person,,,,,,,,,
Marshall and Fox | architects,Marshall and Fox,architects,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
B. H. Marshall,B. H. Marshall,contributor,person,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
K. M. Vitzhum,K. M. Vitzhum,contributor,person,,,,,,,,,
Benjamin Marshall,Benjamin Marshall,contributor,person,,,,,,,,,
Benjamin H. Marshall | architect,Benjamin H. Marshall,architect,person,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall and Co.,Marshall and Co.,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Walton and Kegley,Walton and Kegley,contributor,coorporate,,,,,,,,,
Walton,Walton,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Marshall Co.,Marshall Co.,contributor,person,,,,,,,,,
Marshall,Marshall,contributor,person,,,,,,,,,
